Comment,Label
"khi người ta nói nhóm này tan rã thì tôi mới biết đến họ, công nhận nhạc hay, rất đời thường",Good
Rất cuốn,Good
quá chất,Good
"Mình không phải là fan của CHH chỉ là mình đã có một thời gian yêu đương khá ngắn nhưng cũng rất đẹp với một cô gái thật tuyệt vời. Cô ấy là một big fan của nhóm và cũng chẳng biết khi nào mình cũng thích giai điệu nhóm mang lại. 
Mình đã muốn tặng cô ấy một chiếc cd của nhóm vào ngày sinh nhật nhưng mà tiếc quá lại chẳng đồng hành đc đến lúc đó. Đến bây h nghe lại mình thật sự rất sợ, sợ nỗi buồn sợ những điều đã qua lại hiện về làm mình chẳng còn đủ sức gượng dậy. 
Cảm ơn em và âm nhạc của các anh dù ngắn nhưng thật sự đã là mình nhớ mãi những kỷ niệm cùng ca từ đẹp đẽ này.",Good
Nghe hay nhưng t ko hiểu lời bài hát cho lắm ai giải thích giùm mình với,Good
"Mình nghe bài này năm mình 17t, giờ quay lại mới biết năm mình nghe chính là năm mà bài 5am phát hành. Thích bài này vì có con mèo.",Good
Ôi bài hát làm mình nhớ hôm lần cuối cùng bước ra khỏi căn phòng bao nhiêu kỉ niệm của người đó 😢,Good
Mê vãi,Good
Điệu nhảy rất đặc biệt. Cực cuốn hút.,Good
Giờ nghe lại vẫn thấy hay ạ,Good
"Bài hát đưa mình đến Cá Hồi Hoang và trở thành fan 4 năm, cũng là bài hát kết thúc chuyến hành trình làm nhạc này của band. Bản này nghe live so với bản thu lúc nào cũng năng nổ hơn, nhiệt huyết hơn và một cảm giác mình sẽ không bao giờ có lại lần nào nữa. Có ai như mình không, theo band đến từng cái live, nghe mãi bài này không chán, để rồi cứ lụy mãi lần cuối nghe ở sân khấu Lan Anh tại Tour cuối. Cảm ơn Cá Hồi Hoang nhiều lắm.",Good
